Number,Name
v3270,Y10d. Init status ret/dis/unem/hkr/stu -past occ self-empl
v3271,Y10e. Init status ret/dis/unem/hkr/stu -past occ govt work
v3272,Y11a. Initial status unemp/ret/dis - job in last 6 months
v3273,Y12. Recent occupation: how many hours worked average
v3274,Y13a. Initial status retired/disabled: also working now?
v3275,Y14. Init status ret/dis/unemp/hmkr/stud: looking for wk?
v3276,Y15. Init status ret/dis/unemp/hkr/stu: worried finding wk
v3277,Y16. Summary: ret/dis/unemp/hkr/stu also working now?
v3278,Y16a. Working/TLO now occupation 3 digit
v3278a,Y16b. Working/TLO now occupation 2 digit
v3278b,Y16b2. Init status ret/dis/unemp/hmkr/stu prestige collapsed
v3278c,Y16d. Prestige score of working/TLO now occupation
v3278d,Y16b4. Init status working/TLO now occup 1990 3-digit
v3278e,Y16b5. Init status working/TLO now occup 1990 2-digit
v3278f,Y16b6. Init status working/TLO now occup 1990 1-digit
v3279,Y16c. Working/TLO - industry
v3280,Y16d. Working/TLO now - work for self
v3281,Y16e. Working/TLO now - work for govt
v3282,Y16f. Working/TLO now - how many hours works
v3283,Y16g. Working/TLO now - hours R works satisfactory
v3284,Y16h. Working/TLO now: worried abt losing job near future
v3285,Y16j. Working now: out of work or laid off last 6 mos
v3286,Y16k. Working now: had reduction in work hours or pay
v3287,Y17a. Working now/TLO: presentation at job in last 6 mos
v3288,Y17b. Working now/TLO: plan/chair meetg at job last 6 mos
v3289,Y18a1. Spouse/partner working status 1
v3289a,Y18a2. Spouse/partner working status 2
v3290,Y19. Anyone in HH belong to labor union?
v3291,Y19a. Who in HH belongs to union
v3292,Y20. INTERVIEWER CHECKPOINT- PERSONS IN HH AGE 14 OR OLDER
v3292x,Y20x. Summary: no. persons aged 14 and older
v3293,Y21a. R not only HH member age 14+: Household income
v3293x,Y21a. Summary: Household income
v3294,Y21b. Respondent income
v3295,Y22. Think of self as belonging to class?
v3296,Y22a. Subjective Social Class: Working or Middle
v3297,Y22b. Subjective Social Class: had to choose wkng/Middle
v3298,Y23. Summary: subjective social class
v3299,Y24x. SUMMARY: Race of Respondent
v3299a,Y24a. Race of Respondent MENTION 1
v3299b,Y24b. Race of Respondent MENTION 2
v3300,Y25. Both parents born in U.S.?
v3301a,Y26a. Main ethnic or nationality group mention 1
v3301b,Y26b. Main ethnic or nationality group mention 2
v3301c,Y26c. Main ethnic or nationality group mention 3
v3302,Y27. Interviewer CKPT: number of ethnic mentions
v3303,Y27a. Ethnic group most close
v3303x,Y27ax. Summary: ethnic group
v3304x,Y28x. Did R mention Hispanic group?
v3305,Y28a. Is R of Hispanic descent
v3306,Y29. Spanish or Hispanic descent - type
v3307,Y30. Where R grew up
v3308,Y31x. Summary: How long lived in this community
v3309a,Y33a. Where R lived previously - state/country
v3309b,Y33b. Where R lived previously - city
v3310,Y34. Distance where R used to live
v3311,Y32x. Summary: How long lived in current home
v3312,Y35. Does R family own/rent home
v3401a,ZZ1a. PRE IWR obs: others present - children under 6
v3401b,ZZ1b. PRE IWR obs: others present - older children
v3401c,ZZ1c. PRE IWR obs: others present - spouse
v3401d,ZZ1d. PRE IWR obs: others present - other relatives
v3401e,ZZ1e. PRE IWR obs: others present - other adults
v3401f,"ZZ1f. PRE IWR obs: others present - someone, not sure who"
v3402,ZZ2. PRE IWR OBS: R cooperation
v3403,ZZ3. PRE IWR OBS: R level of information
v3404,ZZ4. PRE IWR OBS: R intelligence
v3405,ZZ5. PRE IWR OBS: R suspicious
v3406,ZZ6. PRE IWR OBS: R interest in IW
v3407,ZZ7. PRE IWR OBS: R sincere
v3408,ZZ8. PRE IWR OBS: places where doubted R sincerity
v3409,ZZ9. PRE IWR OBS: R seem to report income accurately
v3409a,ZZ10. PRE IWR OBS: est of family income
v3410,ZZ11. PRE IWR OBS: R age estimate
v3411,ZZ11a. PRE IWR OBS: R gender
v3412,ZZ12. PRE IWR OBS: R education estimate
v3413a,ZZ13a.. PRE IWR OBS: Mention 1 - R reactions to IW
v3413b,ZZ13b. PRE IWR OBS: Mention 2 - R reactions to IW
v3413c,ZZ13c. PRE IWR OBS: Mention 3 - R reactions to IW
v3413d,ZZ13d. PRE IWR OBS: Mention 4 - R reactions to IW
v3413e,ZZ13e. PRE IWR OBS: Mention 5 - R reactions to IW
v3413f,ZZ13f. PRE IWR OBS: Mention 6 - R reactions to IW
v3413g,ZZ13g. PRE IWR OBS: Mention 7 - R reactions to IW
v4001,PostAdmin.1. Form of interview
v4002,PostAdmin.2. Post IW beginning month
v4003,PostAdmin.3. Post IW beginning day
v4004,PostAdmin.4. Post IW beginning date MMDD
v4005,PostAdmin.5. Post IW beginning version of instrument
v4006,PostAdmin.6. Post IW ending month
v4007,PostAdmin.7. Post IW ending day
v4008,PostAdmin.8. Post IW ending date MMDD
v4009,PostAdmin.9. Post IW ending version of instrument
v4010a,PostAdmin.10a. No. days after election beginning IW date
v4010b,PostAdmin.10b. No. days after election ending IW date
v4011,PostAdmin.11. Total number of Post interview sessions
v4012,PostAdmin.12. Post instrument version changed before IW end
v4013,PostAdmin.13. Total number of Post interviewers
v4014a,PostAdmin.14a. Post IW session 1 date MMDD
v4014b,PostAdmin.14b. Post IW session 2 date MMDD
v4014c,PostAdmin.14c. Post IW session 3 date MMDD
v4015a,PostAdmin.15a. Post IW session 1 version of instrument
v4015b,PostAdmin.15b. Post IW session 2 version of instrument
v4015c,PostAdmin.15c. Post IW session 3 version of instrument
v4016a,PostAdmin.16a. Post IW session 1 breakoff/end
v4016b,PostAdmin.16b. Post IW session 2 breakoff/end
v4017,PostAdmin.17. Total number of calls
v4018,PostAdmin.18. Number of FTF calls
v4019,PostAdmin.19. Number of phone calls
v4020,PostAdmin.20. Interviewer interview number (nth IW)
v4021,PostAdmin.21. Refusal conversion indicator
v4022,PostAdmin.22. Post non-interview result date (MMDD)
v4023,PostAdmin.23. Mode of interview
v4024,PostAdmin.24. Result
v4025,PostAdmin.25. Length of interview
v4026,PostAdmin.26. Language of interview
v4027,PostAdmin.27. Interview verification
v4028,PostAdmin.28. Interviewer evaluation
v4029,PostAdmin.29. Interview tape-recorded
v4030,PostAdmin.30. Payment offer amount
v4031,PostAdmin.31. Payment amount
v4032,PostAdmin.32. Payment date
v4033,PostAdmin.33. Payment mode
v4034,PostAdmin.34 Respondent incentive
v4035,PostAdmin.35. Persuasion letters
v4036a,PostAdmin.36x1a. Summary: R made positive comment
v4036b,PostAdmin.36x1b. Summary: R made time-delay comment
v4036c,PostAdmin.36x1c. Summary: R made negative comment
v4036d,PostAdmin.36x1d. Summary: R made eligibility comment
v4036e,PostAdmin.36x1e. Summary: R made privacy comment
v4036f,PostAdmin.36x1f. Summary: R made comment no int in politics
v4037a,PostAdmin.37a. Comment: positive - help community
v4037b,PostAdmin.37b. Comment: positive - enjoy surveys
v4037c,PostAdmin.37c. Comment: other positive
v4037d,PostAdmin.37d. Comment: time delay - too busy
v4037e,PostAdmin.37e. Comment: time delay - bad time
v4037f,PostAdmin.37f. Comment: time delay - think about it
v4037g,PostAdmin.37g. Comment: other time delay
v4037h,PostAdmin.37h. Comment: negative - waste of time
v4037j,PostAdmin.37j. Comment: negative - don't trust surveys
v4037k,PostAdmin.37k. Comment: negative - surveys waste money
v4037m,PostAdmin.37m. Comment: negative - never do surveys
v4037n,PostAdmin.37n. Comment: negative - not interested
v4037p,PostAdmin.37p. Comment: other negative
v4037q,PostAdmin.37q. Comment: eligibility-don't know about topic
v4037r,PostAdmin.37r. Comment: eligibility -no spouse/partn/child
v4037s,PostAdmin.37s. Comment: eligibility - too young/too old
v4037t,PostAdmin.37t. Comment: eligibility - don't/can't vote
v4037u,PostAdmin.37u. Comment: other eligibility
v4037v,PostAdmin.37v. Comment: privacy - personal questions
v4037w,PostAdmin.37w. Comment: privacy - govt knows everything
v4037y,PostAdmin.37y. Comment: other privacy
v4038,PostAdmin.38. Respondent initial refusal
v4039,PostAdmin.39. Informant initial refusal
v4101,PostIwr.1. Interviewer of record ID
v4101a,PostIwr.1a. Other interviewer ID
v4102,PostIwr.2. Supervisor ID
v4103,PostIwr.3. Interviewer gender
v4104,PostIwr.4. Interviewer education level
v4105,PostIwr.5. Interviewer race
v4106,PostIwr.6. Interviewer ethnicity
v4107,PostIwr.7. Interviewer languages
v4108,PostIwr.8. Interviewer experience
v4109,PostIwr.9. Interviewer age group
v4201,PostErr.1. Post interview error flag
v4401,PostRand.1. Order of D1b-c Pres candidate thermometers
v4402a,PostRand.2a. Order of D1d Democratic House cand thermometer
v4402b,PostRand.2b. Order of D1e Republican House cand thermometer
v4402c,PostRand.2c. Order of D1f Ind/3rd party House cand therm
v4402d,PostRand.2d. Order of D1g retiring House incumbent therm
v4403a,PostRand.3a. Order of D1h Democratic Senate cand thermometer
v4403b,PostRand.3b. Order of D1j Republican Senate cand thermometer
v4403c,PostRand.3c. Order of D1k Ind/3rd party Senate cand therm
v4403d,PostRand.3d. Order of D1m Senator #1 thermometer
v4403e,PostRand.3e. Order of D1n Senator #2 thermometer
v4403f,PostRand.3f. Order of D1p Senator term not up thermometer
v4404a,PostRand.4a. Order of D2a Hispanics thermometer
v4404b,PostRand.4b. Order of D2b Christian fundamentalists therm
v4404c,PostRand.4c. Order of D2c Catholics thermometer
v4404d,PostRand.4d. Order of D2d feminists thermometer
v4404e,PostRand.4e. Order of D2e Federal government thermometer
v4404f,PostRand.4f. Order of D2f Jews thermometer
v4404g,PostRand.4g. Order of D2g Liberals thermometer
v4404h,PostRand.4h. Order of D2h middle class people thermometer
v4404j,PostRand.4j. Order of D2j labor unions thermometer
v4404k,PostRand.4k. Order of D2k poor people thermometer
v4404m,PostRand.4m. Order of D2m the military thermometer
v4404n,PostRand.4n. Order of D2n big business thermometer
v4404p,PostRand.4p. Order of D2p people on welfare thermometer
v4404q,PostRand.4q. Order of D2q conservatives thermometer
v4404r,PostRand.4r. Order of D2r working class people thermometer
v4404s,PostRand.4s. Order of D2s the elderly thermometer
v4404t,PostRand.4t. Order of D2t environmentalists thermometer
v4404u,PostRand.4u. Order of D2u US Supreme Court thermometer
v4404v,PostRand.4v. Order of D2v gay men and lesbians thermometer
v4404w,PostRand.4w. Order of D2w Asian Americans thermometer
v4404y,PostRand.4y. Order of D2y Congress thermometer
v4404z,PostRand.4z. Order of D2z blacks thermometer
v4405a,PostRand.5a. Order of D2aa southerners thermometer
v4405b,PostRand.5b. Order of D2ab men thermometer
v4405c,PostRand.5c. Order of D2ac young people thermometer
v4405d,PostRand.5d. Order of D2ad illegal immigrants thermometer
v4405e,PostRand.5e. Order of D2ae rich people thermometer
v4405f,PostRand.5f. Order of D2af women thermometer
v4405g,PostRand.5g. Order of D2ag business people thermometer
v4405h,PostRand.5h. Order of D2ah Catholic church thermometer
v4405j,PostRand.5j. Order of D2aj whites thermometer
v4405k,PostRand.5k. Order of D2ak Israel thermometer
v4405m,PostRand.5m. Order of D2am Muslims thermometer
v4406a,PostRand.6a. Order of F1a prevent nuclear weapons goal
v4406b,PostRand.6b. Order of F1b promote human rights goal
v4406c,PostRand.6c. Order of F1c strengthen U.N. goal
v4406d,PostRand.6d. Order of F1d combat world hunger goal
v4406e,PostRand.6e. Order of F1e protect US jobs goal
v4406f,PostRand.6f. Order of F1f promote democracy goal
v4406g,PostRand.6g. Order of F1g control illegal immigration goal
v4406h,PostRand.6h. Order of F1h promote market economies goal
v4406j,PostRand.6j. Order of F1j combat intl terrorism goal
v4407,PostRand.7. Order of G4b-c House cand lib-cons placement
v4408,PostRand.8. Order of G5b-c House cand spending-serv placemt
v4409,PostRand.9. Order of G6b-c Pres cand interventionism placemt
v4410,PostRand.10. Order of G6d-e Hse cand interventionism placemt
v4411,PostRand.11. Order of G6f-g party interventionism placemt
v4412,PostRand.12. Order of G7b-c Pres cand abortion placement
v4413,PostRand.13. Order of G7d-e Hse cand abortion placement
v4414,PostRand.14. Order of G7f-g party abortion placement
v4415a,PostRand.15a. Order of P4b blacks hardworking scale
v4415b,PostRand.15b. Order of P4c Hispanics hardworking scale
v4415c,PostRand.15c. Order of P4d Asian-Americans hardworking scale
v4416a,PostRand.16a. Order of P5b blacks intelligent scale
v4416b,PostRand.16b. Order of P5c Hispanics intelligent scale
v4416c,PostRand.16c. Order of P5d Asian-Americans intelligent scale
v4417a,PostRand.17a. Order of P6b blacks trustworthy scale
v4417b,PostRand.17b. Order of P6c Asian-Americans trustworthy scale
v4417c,PostRand.17c. Order of P6d Hispanics trustworthy scale
v4501,Cand.1. State and congressional district of IW
v4502,Cand.2. Type of House race
v4503a,Cand.3a. U.S. House Democratic candidate name
v4503b,Cand.3b. U.S. House Democratic candidate code
v4503c,Cand.3c. U.S. House Democratic candidate gender
v4504a,Cand.4. U.S. House Republican candidate name
v4504b,Cand.4b. U.S. House Republican candidate code
v4504c,Cand.4c. U.S. House Republican candidate gender
v4505a,Cand.5. U.S. House independent/third party candidate name
v4505b,Cand.5b. U.S. House independent/third party candidate code
v4505c,Cand.5c. U.S. House independent/third party cand gender
v4505d,Cand.5d. U.S. House independent/third party cand party
v4506a,Cand.6. U.S. House retiring incumbent name
v4506b,Cand.6b. U.S. House retiring incumbent code
v4506c,Cand.6c. U.S. House retiring incumbent gender
v4507,Cand.7. Type of Senate race
v4508a,Cand.8a. U.S. Senate Democratic candidate name
v4508b,Cand.8b. U.S. Senate Democratic candidate code
v4508c,Cand.8c. U.S. Senate Democratic candidate gender
v4509a,Cand.9. U.S. Senate Republican candidate name
v4509b,Cand.9b. U.S. Senate Republican candidate code
v4509c,Cand.9c. U.S. Senate Republican candidate gender
v4510a,Cand.10. U.S. Senate independent/third party cand name
v4510b,Cand.10b. U.S. Senate independent/third party cand code
v4510c,Cand.10c. U.S. Senate independent/third party cand gender
v4510d,Cand.10d. U.S. Senate independent/third party cand party
v4511a,Cand.11a. U.S. Senator term not up (state with race) name
v4511b,Cand.11b. U.S. Senator term not up (state with race) code
v4511c,Cand.11c. U.S. Senator term not up (state with race) gender
v4512a,Cand.12a. U.S. Senator #1 (state without race) name
v4512b,Cand.12b. U.S. Senator #1 (state without race) code
v4512c,Cand.12c. U.S. Senator #1 (state without race) gender
v4513a,Cand.13a. U.S Senator #2 (state without race) name
v4513b,Cand.13b. U.S. Senator #2 (state without race) code
v4513c,Cand.13c. U.S. Senator #2 (state without race) gender
v4514a,Cand.14a. Winner Party U.S. House race
v4514b,Cand.14b. Winner Cand code U.S. House race
v4515a,Cand.15a. Percent Incumbent House candidate
v4515b,Cand.15b. Percent Democratic House candidate
v4515c,Cand.15c. Percent Republican House candidate
v4515d,Cand.15d. Percent Ind/3rd-party House candidate
v4516a,Cand.16a. Winner Party U.S. Senate race
v4516b,Cand.16b. Winner Cand code U.S. Senate race
v4517a,Cand.17a. Percent Incumbent Senate candidate
v4517b,Cand.17b. Percent Democratic Senate candidate
v4517c,Cand.17c. Percent Republican Senate candidate
v4517d,Cand.17d. Percent Ind/3rd-party House candidate
v5001,A1. How interested in political campaigns
v5002,A2. Did R watch programs about campaign on TV
v5002a,A2a. Watched how many programs about campaign on TV
v5003,A3. How many days in past week watched TV news
v5003a,A4. How much attention to news on TV about Pres campaign
v5004,A5. Did R read about campaign in any magazines
v5004a,A5a. How much atten to Pres campaign articles in magazines
v5005,A6. R listen to campaign speeches or discussions on radio
v5005a,A6a. How many campaign speeches or discussions on radio
v5006,A7. How much attention to Pres campaign news in general
v5007,A8. How much of the time trust media to report news fairly
v5008,B1. Mobilization: anyone from political parties contact R
v5008a,B1a. Mobilization: which political party contacted R
v5009,B2. Mobilization: anyone other than parties contacted R
v5010,B3. Campaign: R try to influence vote of others
v5011,"B4. Campaign: R go to campaign meetings, rallies, speeches"
v5012,B5. Campaign: R display campaign button/sticker/sign
v5013,B6. Campaign: R do any other campaign work for party/cand
v5014,B7. Contributions: R contribute to candidate
v5014a,B7a. Contributions: party of candidate R contributed to
v5015,B8. Contributions: Did R give money to party
v5015a,B8a. Contributions: which party did R give money to
v5016,B9. Did R give money to other group for/against cand/party
v5017a,C1a. Did R vote (standard version)
v5017b,C1b. Did R vote (experimental version)
v5018,C2. Nonvoter: registered to vote in this election
v5018x,C3. Summary: vote and registration status
v5019,C4. Is R registered in county of residence
v5019a,C4a. State where registered if outside county of residence
v5019b,C4b. County where registered if outside county of resid
v5019c,C4c.Voter:state-distr where regist outside county of resid
v5020x,C4x. Summary: voter registration in/out of county
v5021x,C4x1. Voter summary: state of registr same as state of IW?
v5022x,C4x2. Voter summary: distr of registr same as distr of IW?
v5023,C5. Did R vote on election day or before
v5023a,C5a. How long before election R voted
v5024,C5a1. Did R vote in person or by absentee ballot
v5025,C6. Voter: did R vote for President
v5026,C6a. Voter: R's vote for President
v5026a,C6a1. Voter: preference strength for Pres cand of vote
v5027,C6b. Voter: how long before election decision on Pres vote
v5028,C6c. Nonvoter: any preference for President
v5029,C6c1. Nonvoter: what preference for President
v5029a,C6c2. Nonvoter: strength of preference for President
v5030x,C6x. Summary: voter type
v5031x,C7bx. Summary: Did R vote for House of Representatives
v5032x,C7bx1. Summary: vote for party House of Representatives
v5033x,C7bx2. Summary: vote for cand House of Representatives
v5034,C7c. Nonvoter: did R prefer US House candidate
v5035,C7c. Nonvoter: what US House candidate R preferred
v5035x,C7dx. Nonvoter: cand code US House preference
v5036x,C7x. Summary: Senate race and voter status
v5037x,C8bx. Summary: Did R vote for Senate
v5038x,C8bx1. Summary: vote for party in Senate race
v5039x,C8bx2. Summary: vote for cand in Senate race
v5040,C8c. Nonvoter: did R prefer US Senate candidate
v5041,C8c1. Nonvoter: what US Senate candidate R preferred
v5041x,C8c2. Nonvoter: cand code US Senate preference
v5042,C9. How fair was November election
v5043,D1a. Feeling Thermometer: GW Bush
v5044,D1b. Feeling Thermometer: John Kerry
v5045,D1c. Feeling Thermometer: Ralph Nader
v5046,D1d. Feeling Thermometer: Democratic House cand
v5047,D1e. Feeling Thermometer: Republican House cand
v5048,D1f. Feeling Thermometer: Ind/3rd party House cand
v5049,D1g. Feeling Thermometer: Retiring incumbent
v5050,D1h. Feeling Thermometer: Democratic Senate cand
v5051,D1j. Feeling Thermometer: Republican Senate cand
v5052,D1k. Feeling Thermometer: Ind/Third Party Senate cand
v5053,D1m. Feeling Thermometer: Senator #1 in state with no race
v5054,D1n. Feeling Thermometer: Senator #2 in state with no race
v5055,D1p. Feeling Thermometer: Senator not up - state with race
v5056,D2a. Feeling Thermometer: Hispanics (Hispanic-Americans)
v5057,D2b. Feeling Thermometer: Christian Fundamentalists
v5058,D2c. Feeling Thermometer: Catholics
v5059,D2d. Feeling Thermometer: Feminists
v5060,D2e. Feeling Thermometer: Federal Government in Washington
v5061,D2f. Feeling Thermometer: Jews
v5062,D2g. Feeling Thermometer: Liberals
v5063,D2h. Feeling Thermometer - middle class people
v5064,D2j. Feeling Thermometer: Labor Unions
v5065,D2k. Feeling Thermometer: Poor people
v5066,D2m. Feeling Thermometer: The Military
v5067,D2n. Feeling Thermometer: Big Business
v5068,D2p. Feeling Thermometer: People on welfare
v5069,D2q. Feeling Thermometer: Conservatives
v5070,D2r. Feeling Thermometer: working class people
v5071,D2s. Feeling Thermometer: Older people (the elderly)
v5072,D2t. Feeling Thermometer: environmentalists
v5073,D2u. Feeling Thermometer: U.S. Supreme Court
v5074,D2v. Feeling Thermometer: Gay Men and Lesbians
v5075,D2w. Feeling Thermometer: Asian Americans
v5076,D2y. Feeling Thermometer: Congress
v5077,D2z. Feeling Thermometer: Blacks
v5078,D2aa. Feeling Thermometer - Southerners
v5079,D2ab. Feeling Thermometer - men
v5080,D2ac. Feeling Thermometer - young people
v5081,D2ad. Feeling Thermometer - illegal immigrants
v5082,D2ae. Feeling Thermometer - rich people
v5083,D2af. Feeling Thermometer - women
v5084,D2ag. Feeling Thermometer - business people
v5085,D2ah. Feeling Thermometer - the Catholic Church
v5086,D2aj. Feeling Thermometer: Whites
v5087,D2ak. Feeling Thermometer: Israel
v5088,D2am. Feeling Thermometer: Muslims
v5089,E1a. Which party had most members in House prior to electn
v5090,E1b. Which party had most members in Senate prior to elect
v5091,E1x. Summary: type of House incumbent
v5092,E2. Does R approve/disapprove House incumbent job
v5092a,E2a. How strongly R approves/disapproves House incumbent
v5093,E3a. How often has House incumbent supported President
v5094,E3b. How well House incumbent keeps in touch with district
v5095,E4. How often R follows govt and public affairs
v5096,E5a. Favor incr budget deficit to increase domestic spendg
v5097,E5b. Favor increasing budget deficit to cut taxes
v5098,E5c. Favor reduc spendg on domestic programs to cut taxes
v5099,F1a. US foreign policy goal: preventing spread of nuclear
v5100,F1b. US foreign policy goal: promote human rights
v5101,F1c. US foreign policy goal: strengthen United Nations
v5102,F1d. US foreign policy goal: combating world hunger
v5103,F1e. US foreign policy goal: protect jobs of American wkrs
v5104,F1f. US foreign policy goal: promote democracy
v5105,F1g. US foreign policy goal: control illegal immigration
v5106,F1h. US foreign policy goal: promote market economies abrd
v5107,F1j. US foreign policy goal: combat intl terrorism
v5108,F2. How important is it for US to have strong military
v5109,F3. Have opinion - govt see to fair employmt for blacks
v5109a,F3a. Should government see to fair employment for blacks?
v5109b,F3a1. Strength feels govt should/shd not see to fair empl
v5110,G1a. Favor reduc domestic spend progrs to cut budg deficit
v5111,G1b. Favor increasing taxes to cut budget deficit
v5112,G1c. Favor incr taxes to increase domestic spending progs
v5113,G2a. Change in gap between rich and poor in last 20 yrs
v5113a,G2a1. How much change in gap between rich and poor
v5113b,G2b. Is change in gap between rich and poor good or bad
v5114,G3. Favor or oppose limits on foreign imports
v5115,"G3a. Should immigration be increased, decreased, stay same"
v5116,G3b. Effect of Hispanic immigration: take jobs away
v5117,G4a. Liberal/conservative 7-point scale: self-placement
v5117a,G4a1. If R had to choose lib-con self-placement
v5118,G4ax. Summary: liberal-conservative self-placement
v5119,G4b. Liberal/conservative 7-point scale: US House Dem cand
v5120,G4c. Liberal/conservative 7-point scale: US House Rep cand
v5121,G5a. Services/spending tradeoff 7-pt scale: self-placement
v5122,G5b. Services/spending tradeoff 7-pt scale: Dem House cand
v5123,G5c. Services/spending tradeoff 7-pt scale: Rep House cand
v5124,G6a. Interventionism by diplomacy/military: self-placement
v5125,G6a1. Interventionism by diplomacy/military: importance
v5126,G6b. Interventionism by diplomacy/military: GW Bush
v5127,G6c. Interventionism by diplomacy/military: John Kerry
v5128,G6d. Interventionism by diplomacy/military: Dem House cand
v5129,G6e. Interventionism by diplomacy/military: Rep House cand
v5130,G6f. Interventionism by diplomacy/military: Dem party
v5131,G6g. Interventionism by diplomacy/military: Rep party
v5132,G7a. Abortion position: self-placement
v5133,G7a1. Importance of abortion issue to R
v5134,G7b. Abortion position: GW Bush
v5135,G7c. Abortion position: John Kerry
v5136,G7d. Abortion position: Dem House candidate
v5137,G7e. Abortion position: Rep House candidate
v5138,G7f. Abortion position: Dem party
v5139,G7g. Abortion position: Rep party
v5140,H1a. R position on aid to Hispanic-Americans scale
v5141,H1b. How important is issue of aid to Hispanic-Americans
v5142,H2. What should federal govt do about outsourcing
v5142a,H2a. How much should govt discourage/encourage outsourcing
v5143,H3. Favor allowing Social Sec funds invested in the market
v5143a,H3a. Strength favor/oppose investing Soc Sec funds in mkt
v5143b,H3b. Summary: favor/oppose investing Soc Sec funds
v5144,H4. Does R favor/oppose school vouchers
v5144a,H4a. How strongly does R favor/oppose school vouchers
v5145,H5. How good does seeing US flag make R feel
v5145x,H5x. Summary: Pre-Post US flag makes R feel
v5146,H6. Things about America that make R ashamed
v5146x,H6x. Summary: Pre-Post America makes ashamed
v5147,H7. Things about America that make R angry
v5147x,H7x. Summary: Pre-Post America makes angry
v5148,H8. How strong is love for country
v5148x,H8x. Summary: Pre-Post how strong love for country
v5149,H9. How important is being an American
v5149x,H9x. Summary: Pre-Post importance of being American
v5150,J1a. Limit Government: problems have become bigger
v5151,J1b. Limit Government: need strong govt for complex probs
v5152,J1c. Limit Government: less government the better
v5153,J2. Does R ever talk politics with family and friends
v5153a,J2a. How many days in past week R discussed politics
v5154,J3. Does R listen to political talk radio
v5155,J3a. Does R have access to the internet or web
v5155a,J3b. Did R see any information about campaign on Web
v5156,J4a. Should laws protect homosexuals against job discrim
v5156a,J4a1. Strength favor/oppose laws to protect homosexuals
v5157,J4b. Should homosexuals serve in U.S. armed forces
v5157a,J4b1. Strength favor/oppose homosexuals in military
v5158,J4c. Should homosexual couples be allowed to adopt
v5159,J5a. Important differences between Democrats and Repubs
v5160,J5b. Is one party is more conservative at national level
v5160a,J5b1. Which party is more conservative at national level
v5161,J6a. R have interest in equal treatment for women in jobs
v5161a,J6b. R opinion on equal treatment for women in jobs
v5161b,J6c. Strength opinion on equal treatment for women in jobs
v5162,J7a. Politl knowledge office recognition Dennis Hastert
v5162a,J7a1. PROBE used for recognition of Hastert
v5163,J7b. Political knowledge office recognition Dick Cheney
v5163a,J7b1. PROBE used for recognition of Cheney
v5164,J7c. Political knowledge office recognition Tony Blair
v5164a,J7c1. PROBE used for recognition of Blair
v5165,J7d. Political knowledge office recognition Wm Rehnquist
v5165a,J7d1. PROBE used for recognition of Rehnquist
v5166,J8a. R worked/joined organization on community problem
v5167,J8b. Contacted public official to express views
v5168,J8c. Attended community meeting about issue
v5169,J8d. R taken part in Protest or march in last year
v5170,J9a. Is R a member of any organizations
v5170a,J9a1. Number of organizations R is a member of
v5171,J10. Able to devote time to volunteer work in last 12 mo
v5172,"J11. In last 12 mos, made contributions of money to church"
v5173,K0. Summary: R gender/race/ethnicity status
v5174,K1. Is R linked to what happens with women
v5174a,K1a. How much R linked to what happens to women
v5175,K1b. R feeling pride in accomplishments of women
v5176,K1c. R angry about the way women are treated in society
v5177,K2. Is R linked to what happens to blacks
v5177a,K2a. How much R linked to what happens with blacks
v5178,K2b. R feeling pride in accomplishments of blacks
v5179,K2c. R angry about the way blacks are treated in society
v5180,K3. Is R linked to what happens to Hispanics
v5180a,K3a. How much R linked to what happens with Hispanics
v5181,K3b. R feeling pride in accomplishments of Hispanics
v5182,K3c. R angry about the way Hispanics treated in society
v5183,K4a. Women demanding equality seek special favors
v5184,K4b. Women miss good jobs because of discrimination
v5185,K4c.Women complaining abt harassment cause problems
v5186,L1. Would R say most people can be trusted
v5187,L2. Would people try to take advantage of R
v5188,L3. Most people try to be helpful or look out for selves
v5189,L4a. Should adjust moral views to changing world
v5190,L4b. Newer lifestyles causing society breakdown
v5191,L4c. Should be more tolerant of different moral standards
v5192,L4d. Should be more emphasis on traditional family ties
v5193,L5a. Blacks should work their way up like other groups
v5194,L5b. History makes more difficult for blacks to succeed
v5195,L5c. Blacks gotten less than they deserve
v5196,L5d. Blacks should try harder to succeed
v5197,M1a. How often trust government in Washington to do right
v5198,M1b. Is govt run by few big interests or benefit of all
v5199,M1c. How much does government waste tax money
v5200,M1d. How many crooked people running government
v5201,M2a. Public officials don't care what people think
v5202,M2b. People like me don't have any say in what govt does
v5203,M3a. How much attention does govt pay to what people think
v5204,M3b. Elections make govt pay attn to what people think
v5205,M4a. Working mother can have warm relationship with kids
v5206,M4b. Better if woman cares for home-family and man achieve
v5207,M5a. R for or against preference for blacks in jobs
v5207a,M5b. Strength R favors/opposes preference for blacks in jobs
v5208,N1a. Qualities for children: Independent or respect elders
v5209,N1b. Qualities for children: Curiosity or good manners
v5210,N1c. Qualities for children: Obedience or self-reliance
v5211,N1d. Qualities for children: Considerate or well behaved
v5212,N2a. Should do what is necessary for equal opportunity
v5213,N2b. Have gone too far pushing equal rights
v5214,N2c. Big problem is not giving everyone equal chance
v5215,N2d. Better off if worried less about equality
v5216,N2e. Not that big a problem if people have unequal chance
v5217,N2f. Many fewer problems if people treated equally
v5218,P1a. How opinionated is R
v5219,P1b. R have fewer or more opinions than average
v5219a,P1c. R have many or somewhat fewer/more opinions
v5220,P2a. Does R like responsibility for thinking
